scene,narration,broll_keyword,on_screen_text,kind
1,"Mark and Dan started the exact same job, on the exact same day, for the exact same paycheck.",happy retired couple,,broll
2,Same salary every year.,happy retired couple,,broll
3,Same raises.,happy retired couple,,broll
4,Same bonuses.,happy retired couple,,broll
5,"On paper, they were financial twins.",happy retired couple,,broll
6,"But thirty years later, one of them retired a millionaire, free to do whatever he wanted, and the other was still clocking in every morning, quietly terrified of opening his bank account.",happy retired couple,,broll
7,"Here's the unsettling part, the part that should make you lean in: the one who ended up rich never earned a single dollar more than the other.",happy retired couple,,broll
8,No secret inheritance.,happy retired couple,,broll
9,No lottery ticket.,happy retired couple,,broll
10,No genius stock pick.,happy retired couple,,broll
11,"The entire difference came down to a handful of small, almost invisible choices, the kind of choices you are probably making or not making right now without even noticing.",happy retired couple,,broll
12,"Let me show you exactly how this happened, step by step, because once you see this pattern, I promise you cannot unsee it, and you'll start spotting it everywhere in your own life.",happy retired couple,,broll
13,Let's meet our two friends properly.,investing app phone,,broll
14,Mark is the guy everyone loves.,investing app phone,,broll
15,"The day his first paycheck hit, he leased a brand-new car with the big engine and the leather seats.",investing app phone,,broll
16,He upgraded to the nicer apartment downtown.,investing app phone,,broll
17,"Nice watch, newest phone every year, dinners out four nights a week.",investing app phone,,broll
18,"From the outside, Mark looked like the most successful person in the room.",investing app phone,,broll
19,Dan?,investing app phone,,broll
20,Dan was almost boring.,investing app phone,,broll
21,"He drove a clean, reliable used car he paid for outright.",investing app phone,,broll
22,He found a modest apartment with a roommate for the first few years.,investing app phone,,broll
23,"He still went out, still had fun, but he quietly set up one thing Mark never did: an automatic transfer that moved a slice of every paycheck into investments before he could spend it.",investing app phone,,broll
24,Same income.,investing app phone,,broll
25,Two completely different machines running underneath.,investing app phone,,broll
26,"For the first couple of years, nothing dramatic happened, and that's exactly why this trap is so dangerous.",investing app phone,,broll
27,Mark was clearly winning.,investing app phone,,broll
28,"He had the lifestyle, the photos, the envy.",investing app phone,,broll
29,"Dan's investment account was small and unimpressive, growing slowly in the background where nobody could see it.",investing app phone,,broll
30,"If you froze the story right here, everyone would want to be Mark.",investing app phone,,broll
31,Picture them at a party at year three.,investing app phone,,broll
32,"Mark pulls up in the new car, everyone turns to look.",investing app phone,,broll
33,"Dan pulls up in the same used car he's had the whole time, and nobody notices.",investing app phone,,broll
34,"In that exact moment, Mark feels rich and Dan feels invisible.",investing app phone,,broll
35,"But underneath the surface, Dan's money had quietly started doing something Mark's money never could: it began earning money on its own.",cash money counting,,broll
36,"Every dollar Dan invested was now a tiny worker, going out and earning more dollars, which then went out and earned even more.",investing app phone,,broll
37,"His army of dollar-workers was small for now, but it was growing every single month, and crucially, it never slept and never took a day off.",investing app phone,,broll
38,"Mark's dollars, meanwhile, left his account the moment they arrived and never came back.",investing app phone,,broll
39,He wasn't building an army.,investing app phone,,broll
40,"He was renting a lifestyle, and the rent was due again every month, forever.",investing app phone,,broll
41,Now let's fast-forward and watch the gap explode.,finance business b-roll,,broll
42,"Around year ten, something quietly flips.",finance business b-roll,,broll
43,Dan's account isn't growing mainly from his monthly deposits anymore.,finance business b-roll,,broll
44,It's growing from its own past growth.,finance business b-roll,,broll
45,"This is compounding, and it is the closest thing to magic in all of personal finance.",growth chart animation,,chart
46,The returns start earning returns.,finance business b-roll,,broll
47,The curve stops looking like a gentle hill and starts bending upward like a rocket.,finance business b-roll,,broll
48,"Mark, at year ten, is in a strange spot.",finance business b-roll,,broll
49,"He earns a great salary, but he has almost nothing saved, because every raise he ever got was immediately swallowed by a bigger lifestyle.",piggy bank savings,,broll
50,A nicer car.,finance business b-roll,,broll
51,A bigger apartment.,finance business b-roll,,broll
52,The treadmill just got faster.,finance business b-roll,,broll
53,He's running harder than ever and standing in exactly the same place.,finance business b-roll,,broll
54,"Now I want to show you the single most satisfying moment in this entire story, the one that almost nobody sees coming.",finance business b-roll,,broll
